code,similarity,nl
find Path -atime +Timespan -exec rm -f {} \;,find path -atime +timespan -exec rm -f {} \;,forc delet all file in temp folder which not been access in _TIMESPAN
find Path -name Regex | rename -v -n Regex,find path -name regex | rename -v -n regex,a dri run of renam file extens _FILE to _FILE for all file and directori under current directori tree
find Path -inum Quantity -exec rm -i {} \;,find path -inum quantity -exec rm -i {} \;,delet file with inod number _NUMBER under current directori
find Path -regex Regex -exec grep -H Regex {} \;,find path -regex regex -exec grep -h regex {} \;,search for _REGEX in all file under current directori tree match regex _FILE in path and show match line along with filenam
find /home -user <usernmae> -print,find /home -user <usernmae> -print,find all file in home folder that belong to a specif user
find Path -name Regex -mtime -Timespan | wc,find path -name regex -mtime -timespan | wc,find all header file in _FILE which been modifi in _TIMESPAN and display number of line number of file number of charact of all these file
find Path -group Regex -name Regex,find path -group regex -name regex,find all file and directori with _FILE extens that belong to group _REGEX under _FILE directori tree
find Path -type f -print0 | xargs -0 -I {} mv {} File,find path -type f -print0 | xargs -0 -i {} mv {} file,recurs move all file in _FILE to _DIRECTORY
tail File,tail file,print last _NUMBER line of _FILE
join -j2 <(seq 0 255) <(seq 0 255) | xargs -n256 printf %02x/%02x\n | xargs mkdir -p,join -j2 <(seq 0 255) <(seq 0 255) | xargs -n256 printf %02x/%02x\n | xargs mkdir -p,creat _NUMBER directori name from _NUMBER to _REGEX each contain _NUMBER subdirectori name _NUMBER to _REGEX
find Path -type l -print,find path -type l -print,search _FILE directori tree for symbol link
ifconfig Regex | awk Program,ifconfig regex | awk program,get ip address of _REGEX network interfac
df -P -h,df -p -h,report file system disk usag human-read use posix output format
find Path -name Regex,find path -name regex,search for file have python in filenam
find Path -type f,find path -type f,search directori _DIRECTORY recurs for regular file
find Path -user Regex,find path -user regex,find all file start from current directori which are own by user tommi
find Path -type d -exec chmod Permission {} \;,find path -type d -exec chmod permission {} \;,find all directori under _REGEX directori and set read-write-execut permiss for owner and group and no permiss for other for those directori
chgrp -R Regex File,chgrp -r regex file,recurs chang group ownership of everyth in a _FILE folder to _REGEX
find Path -not \( -path Regex -or -path Regex -prune \) -type f,find path -not \( -path regex -or -path regex -prune \) -type f,list all regular file which path is not _REGEX or _REGEX
find Path -type f -name Regex -exec grep -H -c -m Quantity Regex {} + | sed -n Program,find path -type f -name regex -exec grep -h -c -m quantity regex {} + | sed -n program,find all _FILE file under current directori that contain onli one line
yes -- Regex | head -n Quantity,yes -- regex | head -n quantity,output _NUMBER line of _REGEX
who -s -u | sort | uniq | column,who -s -u | sort | uniq | column,print uniqu list of who is _FILE in and time of login format in column
brew install git bash-completion,brew install git bash-completion,instal git and bash-complet packag
find Path -type d -regex Regex,find path -type d -regex regex,find all directori under _REGEX directori tree whose path match regex _FILE
ssh -fL 127.0.0.1:someport:host.in.the.remote.net:22 proxy.host,ssh -fl 127.0.0.1:someport:host.in.the.remote.net:22 proxy.host,allow ssh from _FILE on port _REGEX through _FILE to _FILE on port _NUMBER
find Path -name Regex -delete,find path -name regex -delete,delet all backup file in current directori
cp $( which Regex ) File,cp $( which regex ) file,copi execut _FILE in _REGEX to _FILE
find Path -mtime +Timespan -exec du -k -s {} \; | cut -f Number | awk Program,find path -mtime +timespan -exec du -k -s {} \; | cut -f number | awk program,search for all file which not been modifi in _TIMESPAN in current folder and display total disk usag of them
find Path -name Regex,find path -name regex,find all _FILE file under current directori
tr -s Regex | cut -d Regex -f Number,tr -s regex | cut -d regex -f number,print second section of data come from stdin where section are separ by one or more whitespac
cal -h | cut -c Number | tail -n +Quantity,cal -h | cut -c number | tail -n +quantity,print all busi day in current month without column titl
find Path -type d ! -perm -Permission,find path -type d ! -perm -permission,find all directori in current directori tree that not _REGEX permiss for anyon
wget $( hostname -I ) Regex,wget $( hostname -i ) regex,make a post request to _FILE with data _REGEX set to ip address of system
"find . -type d -execdir sh -c test -z ""$(find ""{}"" -mindepth 1 -type d)"" && echo $PWD/{} ;","find . -type d -execdir sh -c test -z ""$(find ""{}"" -mindepth 1 -type d)"" && echo $pwd/{} ;",list all leaf directori under current directori
find Path -empty -type -f,find path -empty -type -f,find file that are empti
find /some/path -name *.coffee -print0 | xargs -0 perl /path/to/your/program,find /some/path -name *.coffee -print0 | xargs -0 perl /path/to/your/program,find all _FILE file under _FILE and run _FILE with all of file path as it argument
cat File,cat file,save content of _FILE to variabl _REGEX
cat File | grep Regex | wc -l,cat file | grep regex | wc -l,count line in file _REGEX ignor empti line and line with space onli
od -t c File,od -t c file,dump _REGEX as ascii charact
read -r -s -p Regex -n Quantity -t Quantity,read -r -s -p regex -n quantity -t quantity,silent read a singl charact from standard input into variabl _REGEX without backslash escap with a timeout of _TIMESPAN and use prompt _REGEX
true | false | true,true | false | true,save exit status of pipe command in a system variabl _REGEX
find /mnt/naspath -mtime 0 -print0 | du --files0-from=- -hc | tail -n1 >> /tmp/size.log,find /mnt/naspath -mtime 0 -print0 | du --files0-from=- -hc | tail -n1 >> /tmp/size.log,find all file and directori under _FILE that were modifi in _TIMESPAN calcul total size and redirect result to _FILE file
find Path -type f -mtime Timespan,find path -type f -mtime timespan,find all regular file that resid in current directori tree and were last modifi _TIMESPAN ago
su -c bash --rcfile myfile,su -c bash --rcfile myfile,run bash shell as user root
find Path -maxdepth Quantity -mindepth Quantity \( -name Regex -not -name Regex -not -name Regex \),find path -maxdepth quantity -mindepth quantity \( -name regex -not -name regex -not -name regex \),find all _FILE file in current directori except _FILE and those begin with _REGEX
find Path -atime +Timespan,find path -atime +timespan,find all file in file system which not been access in _TIMESPAN
find Path -name Regex -exec cp -t Directory -- {} +,find path -name regex -exec cp -t directory -- {} +,copi all file like _REGEX under current directori to _FILE directori
find Path -type d -name Regex | xargs -n Quantity -I {} cp File {},find path -type d -name regex | xargs -n quantity -i {} cp file {},copi a file _FILE to all directori below current one whose name begin with _REGEX
cat -n File,cat -n file,print _REGEX content with line number
find Path -user Regex,find path -user regex,find all font that belong to user _REGEX
find Path ! Path -prune,find path ! path -prune,find all file in current directori not display file which are not readabl
perl -ple  `find . -name file*`,perl -ple  `find . -name file*`,print content of all _REGEX file under current directori
find Path -perm Permission -type f | sed Program | sort | diff -u Quantity File,find path -perm permission -type f | sed program | sort | diff -u quantity file,list execut file in current directori sort list and display differ between list and file _FILE
find Path -type f -exec grep -i Regex {} +,find path -type f -exec grep -i regex {} +,search for a word in all regular file in entir filesystem _REGEX _REGEX is use to give more than one file as input to grep command
set -- $( cal DateTime DateTime ),set -- $( cal datetime datetime ),save print calendar of februari _NUMBER in posit variabl
"find Path -iname Regex -printf ""unzip -c %p | grep -q '<stringWithOrWithoutSpacesToFind>' && echo %p\n"" | sh","find path -iname regex -printf ""unzip -c %p | grep -q '<stringwithorwithoutspacestofind>' && echo %p\n"" | sh",unzip and search for a word in all _FILE file in current folder and display match file name
dig -x Regex Regex,dig -x regex regex,get domain name of _REGEX and save it to variabl _REGEX
find Path -group Regex,find path -group regex,display all file in folder home which are own by group test
find Path -mtime +Timespan -exec rm {} \;,find path -mtime +timespan -exec rm {} \;,delet all file under _REGEX directori tree that were modifi more than _TIMESPAN ago
find . -exec program {} +,find . -exec program {} +,take all file in current folder and pass them as argument to a program
find Path -name Regex -exec chmod Permission {} + -printf '.' | wc -c,find path -name regex -exec chmod permission {} + -printf '.' | wc -c,chang permiss for all _FILE file under current directori tree to _NUMBER and print number of file chang
find Path -type f -not -path Regex -exec cp --parents {} File \;,find path -type f -not -path regex -exec cp --parents {} file \;,copi all file in current directori that not match _FILE in path to _DIRECTORY preserv directori structur
find Path -type f -exec sed -i Program {} \;,find path -type f -exec sed -i program {} \;,chang string _REGEX to _REGEX in all file in directori hierarchi
find Path -type f -print0 | xargs -t -0 -I {} chmod -v Permission {},find path -type f -print0 | xargs -t -0 -i {} chmod -v permission {},chang permiss to _NUMBER for all file show respect chmod command
find Path -name Regex -type f,find path -name regex -type f,find all _FILE archiv in _FILE directori tree
dig -x Regex,dig -x regex,print revers lookup for adress _FILE
find Path -name Regex -print0 | xargs -0 -I {} tar -u -f File {},find path -name regex -print0 | xargs -0 -i {} tar -u -f file {},archiv all _REGEX file and directori under _DIRECTORY into _REGEX
"mount -o remount,ro -t yaffs2 Regex Regex","mount -o remount,ro -t yaffs2 regex regex",remount _FILE on _FILE with read onli permiss
who | cut -d Regex -f Number,who | cut -d regex -f number,print all user name and termin of user who are _FILE in
ssh -t remotehost sudo <cmd>,ssh -t remotehost sudo <cmd>,forc pseudo-termin alloc to run _REGEX on _REGEX
ls -1 | tr Regex Regex | sed Program,ls -1 | tr regex regex | sed program,list all file in a current folder separ name with comma
find Path -mindepth Quantity -maxdepth Quantity -type d | cut -c Number | sort -k Number | tail -n Quantity | xargs -r -I {} echo Regex Regex {},find path -mindepth quantity -maxdepth quantity -type d | cut -c number | sort -k number | tail -n quantity | xargs -r -i {} echo regex regex {},print and recurs remov alphabet last directori in current directori
